aX,aY,aZ,gX,gY,gZ
-0.698,-0.138,0.221,-31.433,-196.655,-71.594
-0.615,-0.120,0.098,-33.264,-199.036,-71.533
-0.520,-0.119,-0.038,-34.668,-199.585,-70.374
-0.414,-0.116,-0.166,-33.752,-199.219,-67.993
-0.327,-0.094,-0.275,-29.907,-196.777,-64.514
-0.252,-0.066,-0.371,-24.231,-190.613,-59.753
-0.192,-0.034,-0.450,-17.151,-180.908,-53.894
-0.172,0.005,-0.532,-9.766,-170.349,-47.058
-0.169,0.034,-0.579,-1.709,-158.142,-37.964
-0.170,0.052,-0.616,5.920,-142.700,-25.574
-0.186,0.055,-0.633,12.573,-127.258,-10.864
-0.212,0.025,-0.647,18.494,-112.610,4.944
-0.229,-0.026,-0.666,23.010,-99.365,19.653
-0.225,-0.067,-0.684,24.597,-88.379,28.748
-0.210,-0.088,-0.685,21.851,-79.773,30.762
-0.184,-0.105,-0.680,14.832,-72.815,28.198
-0.142,-0.128,-0.687,6.287,-66.040,22.400
-0.086,-0.134,-0.709,-1.831,-59.570,15.808
-0.011,-0.135,-0.748,-7.874,-51.270,10.010
0.084,-0.111,-0.811,-12.085,-39.551,6.226
0.175,-0.067,-0.885,-16.479,-23.682,3.601
0.230,-0.009,-0.935,-23.254,-4.578,0.732
0.268,0.042,-0.961,-34.302,19.470,-2.441
0.285,0.082,-0.943,-49.438,47.791,-4.395
0.281,0.100,-0.884,-66.101,78.186,-3.845
0.278,0.080,-0.812,-79.163,108.643,0.549
0.275,0.056,-0.720,-85.327,135.742,10.254
0.261,0.041,-0.608,-83.740,157.288,24.719
0.246,0.040,-0.495,-74.036,174.866,43.152
0.200,0.012,-0.389,-58.411,187.744,65.247
0.140,-0.045,-0.256,-42.175,197.571,90.332
0.097,-0.136,-0.099,-28.748,205.261,116.150
0.061,-0.227,0.059,-18.921,213.501,140.747
0.020,-0.343,0.202,-12.573,222.351,162.048
-0.044,-0.523,0.375,-9.399,229.431,175.354
-0.136,-0.674,0.526,-10.986,234.985,179.382
-0.263,-0.817,0.653,-16.052,236.755,171.936
-0.401,-0.852,0.785,-26.672,229.004,152.222
-0.588,-0.811,0.908,-41.199,212.341,123.596
-0.811,-0.828,1.042,-56.824,193.787,96.008
-0.949,-0.962,1.136,-67.200,180.298,77.393
-1.117,-1.113,1.207,-71.960,167.419,66.589
-1.201,-1.255,1.238,-73.486,151.672,63.965
-1.244,-1.312,1.253,-73.364,134.277,60.974
-1.254,-1.237,1.236,-71.899,117.004,52.246
-1.245,-1.054,1.226,-71.899,98.267,36.072
-1.254,-0.874,1.228,-77.026,79.651,15.564
-1.256,-0.748,1.210,-83.313,65.125,-1.099
-1.244,-0.703,1.164,-84.167,54.016,-8.484
-1.216,-0.720,1.145,-78.430,43.701,-4.883
-1.205,-0.789,1.170,-62.927,36.438,6.287
-1.213,-0.824,1.189,-41.626,32.776,16.479
-1.231,-0.830,1.194,-22.705,29.297,21.179
-1.230,-0.802,1.185,-11.414,25.452,20.752
-1.203,-0.758,1.162,-7.629,20.935,15.381
-1.156,-0.709,1.125,-8.911,15.625,7.446
-1.101,-0.666,1.077,-11.658,10.437,-0.427
-1.063,-0.618,1.035,-14.282,4.456,-7.019
-1.040,-0.578,0.989,-15.869,-0.854,-12.146
-1.019,-0.570,0.939,-15.625,-6.409,-14.893
-0.995,-0.578,0.892,-13.916,-12.817,-14.160
-0.967,-0.590,0.845,-10.803,-18.860,-10.986

-0.889,-1.539,0.407,-128.723,43.274,98.206
-0.957,-1.703,0.403,-122.375,47.546,92.896
-1.008,-1.876,0.362,-118.408,49.377,83.313
-1.017,-2.024,0.292,-115.173,48.279,67.566
-0.983,-2.163,0.231,-111.023,46.326,47.485
-0.968,-2.277,0.210,-102.844,43.884,25.818
-0.925,-2.337,0.158,-87.463,41.565,6.226
-0.834,-2.360,0.120,-63.049,37.476,-5.432
-0.721,-2.363,0.060,-33.142,32.043,-9.644
-0.599,-2.364,0.013,-4.517,27.710,-9.521
-0.468,-2.370,-0.047,19.409,29.236,-9.644
-0.369,-2.390,-0.087,34.180,35.095,-15.808
-0.282,-2.414,-0.103,38.635,44.800,-30.457
-0.188,-2.406,-0.104,37.598,56.824,-52.185
-0.095,-2.334,-0.082,35.828,68.909,-78.186
-0.040,-2.196,-0.040,36.865,80.750,-105.713
-0.035,-2.024,0.010,43.884,91.492,-130.249
-0.035,-1.817,0.079,57.800,99.304,-146.484
-0.039,-1.613,0.180,77.820,103.271,-152.588
-0.050,-1.428,0.301,102.417,106.018,-149.109
-0.055,-1.265,0.405,130.005,110.352,-139.099
-0.054,-1.103,0.497,153.564,116.150,-126.648
-0.089,-0.954,0.606,168.030,121.277,-116.516
-0.176,-0.790,0.724,172.791,127.380,-111.328
-0.299,-0.589,0.823,169.922,135.803,-113.342
-0.450,-0.332,0.970,162.354,141.663,-122.009
-0.632,-0.015,1.207,153.320,141.663,-131.897
